amp,motor_temp,ambient_temp,vib_x,vib_y,vib_z,timestamp,motor_id,operating_hours,status
0.129,27.07,30.88,-2.0,-1.021,0.776,2026-04-01 08:00:00,MTR-01,3896,Normal
0.0,27.34,30.84,1.46,-0.12,0.886,2026-04-01 08:05:00,MTR-03,3981,Normal
0.007,27.21,30.88,0.818,0.793,1.542,2026-04-01 08:10:00,MTR-03,3491,Normal
0.0,27.36,30.84,0.631,-0.258,0.967,2026-04-01 08:15:00,MTR-01,1423,Normal
0.0,26.89,30.88,1.113,0.877,1.532,2026-04-01 08:20:00,MTR-02,3549,Normal
0.09,27.12,30.88,-1.725,-0.844,0.335,2026-04-01 08:25:00,MTR-01,4045,Normal
0.081,27.12,30.93,-0.748,0.271,1.579,2026-04-01 08:30:00,MTR-03,2001,Normal
0.0,27.18,30.88,0.723,-0.258,0.981,2026-04-01 08:35:00,MTR-03,4268,Normal
0.22,26.91,30.93,-1.805,-0.188,1.481,2026-04-01 08:40:00,MTR-02,3821,Normal
0.0,27.03,30.88,1.795,1.075,1.367,2026-04-01 08:45:00,MTR-03,4926,Normal
0.007,26.54,30.93,-0.535,-0.429,0.75,2026-04-01 08:50:00,MTR-01,4373,Normal
0.129,27.25,30.84,-1.965,-1.032,0.615,2026-04-01 08:55:00,MTR-01,3745,Normal
0.0,27.03,30.93,2.0,1.085,0.957,2026-04-01 09:00:00,MTR-01,4196,Normal
0.129,26.8,30.79,-1.696,-0.835,0.295,2026-04-01 09:05:00,MTR-02,2657,Normal
0.007,27.12,30.88,-2.0,-0.677,1.254,2026-04-01 09:10:00,MTR-02,1109,Normal
0.085,27.05,30.93,2.0,1.059,0.791,2026-04-01 09:15:00,MTR-03,2124,Normal
0.0,27.34,30.88,0.1,-0.336,0.914,2026-04-01 09:20:00,MTR-02,2881,Normal
0.007,27.27,30.84,-0.906,-0.551,0.648,2026-04-01 09:25:00,MTR-03,2496,Normal
0.081,27.29,30.98,-2.0,-0.979,0.91,2026-04-01 09:30:00,MTR-01,2840,Normal
0.081,26.94,30.84,-0.691,0.378,1.609,2026-04-01 09:35:00,MTR-01,1316,Normal
0.077,27.25,30.88,-0.561,0.411,1.598,2026-04-01 09:40:00,MTR-02,4022,Normal
0.09,27.45,30.93,2.0,0.94,0.621,2026-04-01 09:45:00,MTR-02,1501,Normal
0.0,27.29,30.93,2.0,0.841,0.532,2026-04-01 09:50:00,MTR-02,4140,Normal
0.199,27.18,30.88,0.491,-0.284,0.973,2026-04-01 09:55:00,MTR-03,4099,Normal
0.0,28.1,30.93,-1.929,-1.105,0.604,2026-04-01 10:00:00,MTR-02,3322,Normal
0.081,27.21,30.98,-2.0,-0.901,1.046,2026-04-01 10:05:00,MTR-01,3631,Normal
0.0,26.85,30.93,1.327,1.073,1.499,2026-04-01 10:10:00,MTR-02,2352,Normal
0.09,27.38,30.98,1.922,-0.023,0.638,2026-04-01 10:15:00,MTR-02,2339,Normal
0.142,27.38,30.93,1.222,-0.26,0.885,2026-04-01 10:20:00,MTR-01,4903,Normal
0.0,27.29,30.88,-1.915,-1.096,0.427,2026-04-01 10:25:00,MTR-03,1794,Normal
0.129,27.27,31.07,-0.921,0.317,1.616,2026-04-01 10:30:00,MTR-01,4314,Normal
0.159,27.23,30.84,-1.122,0.205,1.613,2026-04-01 10:35:00,MTR-02,3004,Normal
0.0,26.94,30.98,2.0,1.221,1.041,2026-04-01 10:40:00,MTR-02,3200,Normal
0.042,27.47,30.93,1.688,-0.153,0.754,2026-04-01 10:45:00,MTR-02,2129,Normal
0.12,26.71,30.98,1.869,-0.065,0.669,2026-04-01 10:50:00,MTR-03,3336,Normal
0.007,27.27,31.02,-0.846,-0.508,0.625,2026-04-01 10:55:00,MTR-02,4304,Normal
0.02,27.36,30.93,0.644,-0.333,0.932,2026-04-01 11:00:00,MTR-02,3911,Normal
0.0,27.92,31.02,-1.577,-0.766,0.344,2026-04-01 11:05:00,MTR-03,4100,Normal
0.0,27.32,31.02,-2.0,-0.994,0.886,2026-04-01 11:10:00,MTR-01,3119,Normal
0.059,27.9,31.07,-1.987,-1.074,0.492,2026-04-01 11:15:00,MTR-03,3424,Normal
0.0,27.43,31.02,-2.0,-0.536,1.369,2026-04-01 11:20:00,MTR-03,4310,Normal
0.0,27.52,31.07,-0.697,0.393,1.64,2026-04-01 11:25:00,MTR-03,4505,Normal
0.02,27.68,31.02,-2.0,-0.842,1.144,2026-04-01 11:30:00,MTR-02,2822,Normal
0.003,27.5,30.98,-2.0,-0.692,1.285,2026-04-01 11:35:00,MTR-02,1158,Normal
0.068,27.23,31.02,-2.0,-0.443,1.426,2026-04-01 11:40:00,MTR-01,4856,Normal
0.016,27.38,30.98,-1.889,-0.98,0.31,2026-04-01 11:45:00,MTR-01,2389,Normal
0.003,27.5,30.98,-1.822,-0.906,0.305,2026-04-01 11:50:00,MTR-02,1481,Normal
0.0,27.54,31.02,2.0,0.102,0.489,2026-04-01 11:55:00,MTR-01,3327,Normal
0.111,27.47,30.98,2.0,0.241,0.434,2026-04-01 12:00:00,MTR-03,4886,Normal
0.068,27.25,30.93,2.0,0.644,0.468,2026-04-01 12:05:00,MTR-03,4575,Normal
0.077,27.16,31.02,-0.151,0.605,1.675,2026-04-01 12:10:00,MTR-01,3830,Normal
0.0,27.43,31.02,0.922,0.941,1.615,2026-04-01 12:15:00,MTR-02,4678,Normal
0.09,27.61,31.07,1.906,1.219,1.409,2026-04-01 12:20:00,MTR-02,1692,Normal
0.0,26.87,30.98,-1.506,0.074,1.613,2026-04-01 12:25:00,MTR-02,1325,Normal
0.072,27.52,31.02,-1.229,0.226,1.646,2026-04-01 12:30:00,MTR-01,3011,Normal
0.0,26.78,31.07,-0.948,0.365,1.68,2026-04-01 12:35:00,MTR-03,2044,Normal
0.085,27.52,31.02,-2.0,-1.028,0.523,2026-04-01 12:40:00,MTR-01,4568,Normal
0.22,27.61,31.17,-2.0,-1.031,0.421,2026-04-01 12:45:00,MTR-02,2967,Normal
0.094,26.96,31.02,-1.809,-0.814,0.266,2026-04-01 12:50:00,MTR-01,3075,Normal
0.0,27.5,31.07,2.0,0.254,0.387,2026-04-01 12:55:00,MTR-01,2785,Normal
0.09,26.78,31.17,2.0,0.657,0.528,2026-04-01 13:00:00,MTR-01,4649,Normal
0.003,26.89,31.02,-0.874,0.4,1.689,2026-04-01 13:05:00,MTR-03,2937,Normal
0.033,27.74,31.07,-1.891,-0.097,1.539,2026-04-01 13:10:00,MTR-03,1346,Normal
0.0,27.34,31.12,-2.0,-0.412,1.387,2026-04-01 13:15:00,MTR-01,4688,Normal
0.007,27.74,31.07,-1.569,-0.712,0.353,2026-04-01 13:20:00,MTR-03,3971,Normal
0.177,27.59,31.12,-0.851,-0.544,0.608,2026-04-01 13:25:00,MTR-03,4664,Normal
0.0,31.57,31.17,0.248,-0.452,0.85,2026-04-01 13:30:00,MTR-01,4940,Normal
0.042,28.92,31.21,2.0,0.884,0.803,2026-04-01 13:35:00,MTR-01,4406,Normal
0.081,27.61,31.21,2.0,1.186,1.176,2026-04-01 13:40:00,MTR-03,1512,Normal
0.0,27.27,31.17,1.98,1.312,1.511,2026-04-01 13:45:00,MTR-02,4647,Normal
0.072,27.92,31.21,-2.0,-0.521,1.251,2026-04-01 13:50:00,MTR-02,4344,Normal
0.199,27.83,30.98,-2.0,-0.805,0.924,2026-04-01 13:55:00,MTR-02,2761,Normal
0.05,27.9,31.12,-2.0,-0.972,0.538,2026-04-01 14:00:00,MTR-03,3707,Normal
0.042,27.74,31.07,0.335,-0.484,0.814,2026-04-01 14:05:00,MTR-03,1035,Normal
0.142,27.92,31.12,1.412,-0.439,0.744,2026-04-01 14:10:00,MTR-03,3776,Normal
0.024,27.7,31.12,1.457,1.244,1.664,2026-04-01 14:15:00,MTR-02,3685,Normal
0.129,27.88,31.17,-1.302,0.338,1.7,2026-04-01 14:20:00,MTR-02,2192,Normal
0.003,27.54,31.21,-2.0,-0.575,1.199,2026-04-01 14:25:00,MTR-02,2459,Normal
0.129,27.86,31.17,0.308,-0.473,0.824,2026-04-01 14:30:00,MTR-03,4551,Normal
0.0,27.79,31.12,1.406,-0.41,0.754,2026-04-01 14:35:00,MTR-01,3235,Normal
0.068,28.01,31.17,2.0,-0.196,0.44,2026-04-01 14:40:00,MTR-01,3416,Normal
0.0,33.11,31.21,0.812,1.098,1.757,2026-04-01 14:45:00,MTR-03,4104,Normal
0.024,28.01,31.21,1.601,1.284,1.653,2026-04-01 14:50:00,MTR-02,3558,Normal
0.081,26.83,31.17,2.0,1.313,1.481,2026-04-01 14:55:00,MTR-03,1615,Normal
0.024,27.36,31.12,-2.0,-0.47,1.298,2026-04-01 15:00:00,MTR-03,4269,Normal
0.111,28.33,31.26,-2.0,-0.767,0.95,2026-04-01 15:05:00,MTR-03,1226,Normal
0.077,28.24,31.21,-2.0,-0.939,0.571,2026-04-01 15:10:00,MTR-03,2246,Normal
0.0,27.7,31.26,0.599,-0.463,0.85,2026-04-01 15:15:00,MTR-01,1954,Normal
0.0,28.15,31.26,1.547,-0.425,0.711,2026-04-01 15:20:00,MTR-02,4367,Normal
0.081,27.59,31.12,2.0,1.28,1.442,2026-04-01 15:25:00,MTR-01,4592,Normal
0.0,27.65,31.26,1.451,1.289,1.701,2026-04-01 15:30:00,MTR-03,1684,Normal
0.124,27.21,31.21,0.367,1.008,1.808,2026-04-01 15:35:00,MTR-03,3641,Normal
0.0,28.28,31.31,-2.0,-0.874,0.676,2026-04-01 15:40:00,MTR-03,4451,Normal
0.016,28.17,31.31,-2.0,-0.957,0.345,2026-04-01 15:45:00,MTR-03,4543,Normal
0.0,27.88,31.26,-2.0,-0.866,0.225,2026-04-01 15:50:00,MTR-02,1845,Normal
0.0,28.71,31.26,1.898,-0.422,0.618,2026-04-01 15:55:00,MTR-03,4788,Normal
0.0,28.06,31.31,2.0,-0.211,0.431,2026-04-01 16:00:00,MTR-02,4585,Normal
0.0,28.74,31.26,2.0,0.209,0.457,2026-04-01 16:05:00,MTR-02,3266,Normal
0.0,27.5,31.31,-0.031,0.928,1.818,2026-04-01 16:10:00,MTR-03,1936,Normal
0.0,27.99,31.31,-1.994,-0.037,1.521,2026-04-01 16:15:00,MTR-02,4762,Normal
0.072,27.5,31.31,-1.874,-0.786,0.269,2026-04-01 16:20:00,MTR-03,2623,Normal
0.042,28.22,31.35,-1.435,-0.016,-0.016,2026-04-01 16:25:00,MTR-03,2022,Normal
0.042,27.5,31.4,-0.535,-0.538,0.708,2026-04-01 16:30:00,MTR-03,2334,Normal
0.059,28.35,31.31,-0.261,0.865,1.838,2026-04-01 16:35:00,MTR-01,1486,Normal
0.029,27.16,31.31,0.068,-0.537,0.764,2026-04-01 16:40:00,MTR-02,2583,Normal
0.151,28.35,31.35,2.0,0.632,0.712,2026-04-01 16:45:00,MTR-01,2398,Normal
0.003,28.74,31.4,-1.623,0.273,1.665,2026-04-01 16:50:00,MTR-02,2308,Normal
0.081,28.46,31.45,2.0,-0.091,0.394,2026-04-01 16:55:00,MTR-01,3110,Normal
0.133,28.22,31.4,-2.0,-0.338,1.326,2026-04-01 17:00:00,MTR-02,2223,Normal
0.133,28.44,31.26,0.679,-0.525,0.798,2026-04-01 17:05:00,MTR-01,4239,Normal
0.09,28.19,31.4,-2.0,-0.245,1.387,2026-04-01 17:10:00,MTR-03,1292,Normal
0.042,28.31,31.4,0.408,-0.533,0.789,2026-04-01 17:15:00,MTR-03,4082,Normal
0.0,28.56,31.45,2.0,1.322,1.611,2026-04-01 17:20:00,MTR-01,4550,Normal
0.05,27.9,31.49,-0.76,-0.568,0.62,2026-04-01 17:25:00,MTR-03,3311,Normal
0.0,28.22,31.45,2.0,1.119,1.227,2026-04-01 17:30:00,MTR-02,2150,Normal
0.146,28.35,31.49,-2.0,-0.907,0.502,2026-04-01 17:35:00,MTR-03,1748,Normal
0.107,28.44,31.45,1.385,1.311,1.765,2026-04-01 17:40:00,MTR-02,1287,Normal
0.033,28.56,31.35,-1.783,-0.767,0.273,2026-04-01 17:45:00,MTR-03,1325,Normal
0.12,28.22,31.49,1.824,1.343,1.676,2026-04-01 17:50:00,MTR-01,3529,Normal
0.22,28.51,31.35,2.0,-0.008,0.396,2026-04-01 17:55:00,MTR-02,1971,Normal
0.212,28.65,31.49,-2.0,-0.865,0.215,2026-04-01 18:00:00,MTR-03,4746,Normal
0.19,28.74,31.49,-2.0,-0.822,0.674,2026-04-01 18:05:00,MTR-01,4793,Normal
0.0,28.28,31.54,2.0,1.353,1.581,2026-04-01 18:10:00,MTR-02,4768,Normal
